area_id,ocd_id,name,country,state,city,district_type,parent_area_id
106,ocd-division/country:mx/state:dg/fed:2,Diputación del Distrito Federal 2 de DURANGO,MX,DUR,"GOMEZ PALACIO, GUANACEVI, HIDALGO, INDE, MAPIMI, OCAMPO, EL ORO, SAN BERNARDO, SAN PEDRO DEL GALLO, TLAHUALILO",2,-1,
107,ocd-division/country:mx/state:dg/fed:3,Diputación del Distrito Federal 3 de DURANGO,MX,DUR,"CANATLAN, CONETO DE COMONFORT, CUENCAME, SIMON BOLIVAR, GUADALUPE VICTORIA, LERDO, NAZAS, NOMBRE DE DIOS, NUEVO IDEAL, PANUCO DE CORONADO, PE?ON BLANCO, POANAS, RODEO, SAN JUAN DE GUADALUPE, SAN JUAN DEL RIO, SAN LUIS DEL CORDERO, SANTA CLARA",2,-1,
108,ocd-division/country:mx/state:dg/fed:4,Diputación del Distrito Federal 4 de DURANGO,MX,DUR,DURANGO,2,-1,
109,ocd-division/country:mx/state:em,Gubernatura de ESTADO DE MÉXICO,MX,MEX,,1,-1,
110,ocd-division/country:mx/state:em/city:105,Presidencia del municipio de TLALNEPANTLA DE BAZ,MX,MEX,TLALNEPANTLA DE BAZ,3,-1,
111,ocd-division/country:mx/state:em/city:107,Presidencia del municipio de TOLUCA,MX,MEX,TOLUCA,3,-1,
112,ocd-division/country:mx/state:em/city:110,Presidencia del municipio de TULTITLÁN,MX,MEX,TULTITLÁN,3,-1,
113,ocd-division/country:mx/state:em/city:13,Presidencia del municipio de ATIZAPÁN DE ZARAGOZA,MX,MEX,ATIZAPÁN DE ZARAGOZA,3,-1,
114,ocd-division/country:mx/state:em/city:25,Presidencia del municipio de CUAUTITLÁN IZCALLI,MX,MEX,CUAUTITLÁN IZCALLI,3,-1,
115,ocd-division/country:mx/state:em/city:32,Presidencia del municipio de CHIMALHUACÁN,MX,MEX,CHIMALHUACÁN,3,-1,
116,ocd-division/country:mx/state:em/city:34,Presidencia del municipio de ECATEPEC DE MORELOS,MX,MEX,ECATEPEC DE MORELOS,3,-1,
